EMPRESA,ANO,INFERÊNCIA (A),INFERÊNCIA (B),VALOR,MÉTRICA,FONTE
Ponemon,2021,malware,phishing,807506,dólar por ano,The 2021 Cost of Phishing Study
Ponemon,2021,roubo de credenciais,phishing,5,ataques por ano,The 2021 Cost of Phishing Study
Ponemon,2021,dados criptografados,-,5660000,dólar por ataque,The 2021 Cost of Phishing Study
Ponemon,2015,phishing,-,3800000,dólar por ano,The 2021 Cost of Phishing Study
Ponemon,2021,perda de desempenho,malware,61647,dólar por ataque,The 2021 Cost of Phishing Study
Ponemon,2021,dados criptografados,-,790000,dólar por ano,
Ponemon,2023,ciberataque,-,4991500,dólar,Cyber Insecurity in Healthcare: The Cost and Impact on Patient Safety and Care 2023
Ponemon,2023,disrupção de serviços,setor de saúde,1297790,dólar,Cyber Insecurity in Healthcare: The Cost and Impact on Patient Safety and Care 2023
Ponemon,2023,perda de desempenho,setor de saúde,32801,dólar por ataque,Cyber Insecurity in Healthcare: The Cost and Impact on Patient Safety and Care 2023
Ponemon,2022,disrupção de serviços,setor de saúde,1018670,dólar,Cyber Insecurity in Healthcare: The Cost and Impact on Patient Safety and Care 2023
Ponemon,2022,perda de desempenho,setor de saúde,31636,dólar por ataque,Cyber Insecurity in Healthcare: The Cost and Impact on Patient Safety and Care 2023
Cybereason,2024,dados criptografados,Estados Unidos,1400000,dólar,Ransomware: The True Cost to Business 2024
Cybereason,2024,dados criptografados,Reino Unido,423000,dólar,Ransomware: The True Cost to Business 2024
Cybereason,2024,dados criptografados,Alemanha,762000,dólar,Ransomware: The True Cost to Business 2024
Cybereason,2024,dados criptografados,França,1000000,dólar,Ransomware: The True Cost to Business 2024
Sophos,2024,dados criptografados,-,2073000,dólar,The State of Ransomware 2024
Sophos,2023,dados criptografados,-,1082000,dólar,The State of Ransomware 2024
Sophos,2022,dados criptografados,-,1400000,dólar,The State of Ransomware 2024
Sophos,2021,dados criptografados,-,1850000,dólar,The State of Ransomware 2024
Osterman Research,2022,phishing,-,45726,dólar,The Business Cost of Phishing
Symantec,2020,dados criptografados,-,260000,dólar,Targeted Ransomware
TrendMicro,2019,dados criptografados,-,61132338,ataques por ano,Calibration Expansion: 2023 Annual Cybersecurity Report
TrendMicro,2020,dados criptografados,-,41271208,ataques por ano,Calibration Expansion: 2023 Annual Cybersecurity Report
TrendMicro,2021,dados criptografados,-,14066778,ataques por ano,Calibration Expansion: 2023 Annual Cybersecurity Report
TrendMicro,2022,dados criptografados,-,14983271,ataques por ano,Calibration Expansion: 2023 Annual Cybersecurity Report
TrendMicro,2023,dados criptografados,-,14169866,ataques por ano,Calibration Expansion: 2023 Annual Cybersecurity Report
TrendMicro,2023,setor financeiro,dados criptografados,20300,ataques por ano,Calibration Expansion: 2023 Annual Cybersecurity Report
TrendMicro,2023,setor de comércio,ransomware,6300,ataques por ano,Calibration Expansion: 2023 Annual Cybersecurity Report
TrendMicro,2023,setor de saúde,malware & Estados Unidos,45030,ataques por ano,Calibration Expansion: 2023 Annual Cybersecurity Report
TrendMicro,2023,setor financeiro,malware & Brasil,8051,ataques por ano,Calibration Expansion: 2023 Annual Cybersecurity Report
TrendMicro,2023,Estados Unidos,malware,993996354,ataques por ano,Calibration Expansion: 2023 Annual Cybersecurity Report
TrendMicro,2023,Brasil,malware,256383037,ataques por ano,Calibration Expansion: 2023 Annual Cybersecurity Report
APWG,2023,phishing,-,4987809,ataques por ano,"Phishing Activity Trends Report, 4th Quarter 2023"
Arelion,2022,DDoS,-,11,média duração em minutos,DDoS Threat Landscape Report 2023
Sonicwall,2023,malware,-,6060000000,ataques por ano,Acronis Mid-Year Cyberthreats Report 2023
Sonicwall,2022,NA,malware,2747184428,ataques por ano,Acronis Mid-Year Cyberthreats Report 2023
Sonicwall,2022,Europa,malware,1459991177,ataques por ano,Acronis Mid-Year Cyberthreats Report 2023
Sonicwall,2022,LATAM,malware,366328290,ataques por ano,Acronis Mid-Year Cyberthreats Report 2023
Sonicwall,2022,APAC,malware,825782692,ataques por ano,Acronis Mid-Year Cyberthreats Report 2023
Sonicwall,2023,NA,malware,3170719591,ataques por ano,Acronis Mid-Year Cyberthreats Report 2023
Sonicwall,2023,Europa,malware,1437227130,ataques por ano,Acronis Mid-Year Cyberthreats Report 2023
Sonicwall,2023,LATAM,malware,475173006,ataques por ano,Acronis Mid-Year Cyberthreats Report 2023
Sonicwall,2023,APAC,malware,813156625,ataques por ano,Acronis Mid-Year Cyberthreats Report 2023
Sonicwall,2019,ransomware,-,187909053,ataques por ano,Acronis Mid-Year Cyberthreats Report 2023
Sonicwall,2020,ransomware,-,304638987,ataques por ano,Acronis Mid-Year Cyberthreats Report 2023
Sonicwall,2021,ransomware,-,623254877,ataques por ano,Acronis Mid-Year Cyberthreats Report 2023
Sonicwall,2022,ransomware,-,493327151,ataques por ano,Acronis Mid-Year Cyberthreats Report 2023
Sonicwall,2023,ransomware,-,317593178,ataques por ano,Acronis Mid-Year Cyberthreats Report 2023
Zayo,2023,DDoS,-,6000,dólar por minuto,Protecting Your Business From Cyber Attacks: The State of DDoS Attacks
Zayo,2023,DDoS,-,4,ataques por semana,Protecting Your Business From Cyber Attacks: The State of DDoS Attacks
Zayo,2023,DDoS,-,200000,dólar por ataque,Protecting Your Business From Cyber Attacks: The State of DDoS Attacks
Osterman Research,2022,phishing,-,28,média duração em minutos,The Business Cost of Phishing
Osterman Research,2022,phishing,-,31,dólar por mensagem,The Business Cost of Phishing
NexusGuard,2023,DDoS,-,1,tamanho do ataque em Gbps,
